file,conversation_id,model,temperature,num_turns,prompt_tokens,completion_tokens,total_tokens,input_cost,output_cost,total_cost,avg_msg_length,max_msg_length,min_msg_length
do-llms-prefer-philosophy-anthropic-claude-haiku-4.5-1764242307.131145-10.jsonl,1,anthropic/claude-haiku-4.5,1.0,9,14583,3332,17915,0.00364575,0.004165,0.00781075,370.22222222222223,526,82
do-llms-prefer-philosophy-anthropic-claude-haiku-4.5-1764242307.131145-10.jsonl,2,anthropic/claude-haiku-4.5,1.0,9,12515,2975,15490,0.00312875,0.0037187500000000003,0.0068475,330.55555555555554,457,242
do-llms-prefer-philosophy-anthropic-claude-haiku-4.5-1764242307.131145-10.jsonl,3,anthropic/claude-haiku-4.5,1.0,9,14232,2872,17104,0.003558,0.00359,0.007148,319.1111111111111,583,7
do-llms-prefer-philosophy-anthropic-claude-haiku-4.5-1764242307.131145-10.jsonl,4,anthropic/claude-haiku-4.5,1.0,9,17865,4277,22142,0.00446625,0.00534625,0.0098125,475.22222222222223,776,252
do-llms-prefer-philosophy-anthropic-claude-haiku-4.5-1764242307.131145-10.jsonl,5,anthropic/claude-haiku-4.5,1.0,9,11331,2652,13983,0.00283275,0.003315,0.0061477500000000004,294.6666666666667,524,14
do-llms-prefer-philosophy-anthropic-claude-haiku-4.5-1764242307.131145-10.jsonl,6,anthropic/claude-haiku-4.5,1.0,9,17954,5101,23055,0.0044885,0.00637625,0.01086475,566.7777777777778,707,257
do-llms-prefer-philosophy-anthropic-claude-haiku-4.5-1764242307.131145-10.jsonl,7,anthropic/claude-haiku-4.5,1.0,9,14952,4001,18953,0.003738,0.0050012500000000005,0.00873925,444.55555555555554,622,194
do-llms-prefer-philosophy-anthropic-claude-haiku-4.5-1764242307.131145-10.jsonl,8,anthropic/claude-haiku-4.5,1.0,9,16399,4094,20493,0.00409975,0.0051175000000000005,0.00921725,454.8888888888889,665,263
do-llms-prefer-philosophy-anthropic-claude-haiku-4.5-1764242307.131145-10.jsonl,9,anthropic/claude-haiku-4.5,1.0,9,13685,2873,16558,0.00342125,0.0035912500000000003,0.0070125,319.22222222222223,529,66
do-llms-prefer-philosophy-anthropic-claude-haiku-4.5-1764242307.131145-10.jsonl,10,anthropic/claude-haiku-4.5,1.0,9,13571,2813,16384,0.00339275,0.00351625,0.006909,312.55555555555554,543,7
